carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5f58f604f7be2c07e8d727c9,687a3dc6d4babe4f5a99d8de,Amazon WBW2,DELIVERLOAD,False,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
5f58f604f7be2c07e8d727c9,687a3dc6d4babe4f5a99d8de,Amazon WBW2,DELIVERLOAD,True,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
5f58f604f7be2c07e8d727c9,687a3dc6d4babe4f5a99d8de,Amazon WBW2,HOOKCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
5f58f604f7be2c07e8d727c9,68053d0b6cdcd1bad4382b4d,AMAZON XCH1,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,6849842e9acd15f4c2380ac9,American recycling,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,684b8f1f2cd2a59b5f2e8727,American Recycling,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,6823aa28073d856ce579511f,americold amarillo,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,66991b43ff57b910c50e30d4,Americold Logistics LLC,DELIVERLOAD,False,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
5f58f604f7be2c07e8d727c9,66991b43ff57b910c50e30d4,Americold Logistics LLC,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,66991b43ff57b910c50e30d4,Americold Logistics LLC,HOOKCONTAINER,False,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5f58f604f7be2c07e8d727c9,68c51c98100e30154cd59e71,andriod VAA,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,5f58faeb750d2e420c6fc6be,APM,PULLCONTAINER,False,49,49,49,49,49,49,49,35,39,47,46,61,80,45,58,39,21,82,47,49,49,49,49,49,49
5f58f604f7be2c07e8d727c9,5f58faeb750d2e420c6fc6be,APM,RETURNCONTAINER,False,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,32,20,20,20,20,20,20,20,20,20
5f58f604f7be2c07e8d727c9,679a2dea8990efcff8994b75,APM Terminal,RETURNCONTAINER,False,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
5f58f604f7be2c07e8d727c9,62e7c8bc2a7ede15e05168a9,APM TERMINALS VIRGINIA,PULLCONTAINER,False,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
5f58f604f7be2c07e8d727c9,62e7c8bc2a7ede15e05168a9,APM TERMINALS VIRGINIA,RETURNCONTAINER,False,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
5f58f604f7be2c07e8d727c9,6796632a2b08bb89e164c5d6,Architectural Graphics Inc,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,685014fcb5867e74074915a0,Article Richmond Warehouse (ORF),DELIVERLOAD,True,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
5f58f604f7be2c07e8d727c9,689cbd997c2e305589d40a18,ASAP DESIGN & LOGISTICS,DELIVERLOAD,True,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
5f58f604f7be2c07e8d727c9,686edf84bf1938eca1a29388,ASCEND WAREHOUSE,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
5f58f604f7be2c07e8d727c9,6851f54a2bef6b2dd5e550db,Ashley Furniture,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,678087839d4de4187c2aeb10,ATD,DROPCONTAINER,False,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5f58f604f7be2c07e8d727c9,678087839d4de4187c2aeb10,ATD,HOOKCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
5f58f604f7be2c07e8d727c9,686eb717f6f91d0b8baead35,ATLANTIX,DELIVERLOAD,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
5f58f604f7be2c07e8d727c9,677f517d57d2949310f671bb,ATMI YARD (Mid Atlantic),HOOKCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
5f58f604f7be2c07e8d727c9,687692d319fff24133d670c6,AUSTIN WAREHOUSE,DELIVERLOAD,True,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
5f58f604f7be2c07e8d727c9,686d38933851c496bcd92728,AZTEC GLASS AND MIRROR INC.,DELIVERLOAD,True,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
5f58f604f7be2c07e8d727c9,686edbf35cc4b7ade9eca5c3,BABA Trucking Company,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,686edbf35cc4b7ade9eca5c3,BABA Trucking Company,DELIVERLOAD,True,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
5f58f604f7be2c07e8d727c9,688141b8591f7880704e6203,Baltimore - Kresson St,HOOKCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
5f58f604f7be2c07e8d727c9,688141b8591f7880704e6203,Baltimore - Kresson St,RETURNCONTAINER,False,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
5f58f604f7be2c07e8d727c9,66609ccaccb4804de8069712,Barbours Cut Container Terminal,PULLCONTAINER,False,55,55,55,55,55,55,55,55,77,54,60,57,57,55,49,59,50,37,35,55,55,55,55,55,55
5f58f604f7be2c07e8d727c9,66609ccaccb4804de8069712,Barbours Cut Container Terminal,RETURNCONTAINER,False,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5f58f604f7be2c07e8d727c9,687ea7f85e00efd6094ea441,Barbours Cut - Port of Houston,PULLCONTAINER,False,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
